time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.735335	0.629467	7.20389	1.52619e-17	2.26744e-17	radar	74.6701	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.1605	0.494943	7.20697	-0.127191	-0.0118543	lidar	0.220993	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.25801	0.533087	7.19218	0.122698	0.0306158	radar	1.82499	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61582	0.595358	7.20568	0.161522	0.046224	lidar	0.167368	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.85111	0.561912	6.00964	0.0255178	-0.232994	radar	7.6848	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.16294	0.5913	6.00929	0.0402091	-0.177325	lidar	0.253701	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.37882	0.63725	5.6052	0.0562652	-0.339307	radar	6.26958	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.65608	0.654395	5.60266	0.0450404	-0.317771	lidar	0.00823216	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.92254	0.648001	5.53712	-0.00263477	-0.47053	radar	0.417101	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15841	0.643662	5.49295	-0.0159885	-0.435963	lidar	1.19956	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.44396	0.53971	5.52537	-0.164368	-0.849831	radar	1.27422	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74708	0.427448	5.59185	-0.283206	-1.07157	lidar	2.08654	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02789	0.511605	5.55311	-0.146417	-0.548829	radar	4.15095	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.3018	0.503576	5.53505	-0.139389	-0.465574	lidar	0.373942	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.56249	0.539407	5.45277	-0.0991335	-0.328771	radar	2.09208	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.7522	0.645687	5.29162	0.00118609	-0.0856346	lidar	12.9482	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	5.00451	0.644188	5.22525	-0.0072914	-0.0953807	radar	1.93682	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.30485	0.641606	5.27526	-0.0133423	-0.0976059	lidar	2.42068	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.56277	0.649299	5.29264	-0.00746649	-0.0775179	radar	1.72755	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.85597	0.666071	5.3256	0.00124798	-0.0565707	lidar	1.55952	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.09896	0.59234	5.26287	-0.0524124	-0.139482	radar	3.72355	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.35461	0.706214	5.23639	0.02275	-0.0134224	lidar	4.01296	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
