time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443399637	8.46292	0.243462	0	0	0	radar	0	8.46292	0.243462	8.6	0.25	-3.00029	0
1477010443449633	8.4485	0.251375	-0.000719632	2.30935e-17	-2.08167e-17	lidar	0.000275949	8.44818	0.251553	8.45	0.25	-3.00027	0
1477010443499690	8.47145	0.248799	-0.00552724	3.13748e-06	3.238e-07	radar	0.125983	8.56759	0.241943	8.45	0.25	0	0
1477010443549747	8.46434	0.250982	-0.00839068	-2.06222e-05	-2.93968e-06	lidar	0.00655075	8.45582	0.253997	8.45	0.25	0	0
1477010443604698	8.37672	0.251326	-0.90898	0.00137853	0.000342342	radar	19.5945	8.42544	0.254042	8.35	0.25	-1.81979	0
1477010443659650	8.31232	0.25063	-0.930028	0.00316701	0.00076376	lidar	0.346655	8.23962	0.24916	8.25	0.25	-1.81978	0
1477010443709653	8.10892	0.234546	-1.35	0.180244	0.0543488	radar	29.1911	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994
1477010443759657	8.01119	0.203654	-1.3968	0.290871	0.0831681	lidar	1.88339	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993
1477010443809660	7.8234	0.340832	-1.70844	-1.22194	-0.53158	radar	17.6387	7.61269	0.155818	7.7	0.15	-2.99982	0
1477010443859663	7.71455	0.280306	-1.77033	-0.54122	-0.269321	lidar	3.31197	7.54016	0.159641	7.55	0.15	-2.99982	0
1477010443914714	7.57752	0.200844	-1.82928	0.0805643	0.0712194	radar	1.34731	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239
1477010443969766	7.45333	0.138383	-1.82214	0.225337	0.0931591	lidar	1.42429	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823
1477010444024741	7.30532	0.191938	-2.13178	-0.0819667	-0.37899	radar	8.7442	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507
1477010444079717	7.16448	0.104068	-2.15087	0.104106	-0.214276	lidar	2.4727	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499
1477010444134693	7.05424	0.0227439	-2.08257	0.245422	-0.0133698	radar	3.08102	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898
1477010444189670	6.93233	-0.109257	-2.11098	0.451053	0.272777	lidar	2.05189	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897
1477010444239651	6.82112	-0.164276	-2.16132	0.429299	0.099703	radar	1.62533	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075
1477010444289632	6.71501	-0.292289	-2.21509	0.571075	0.284697	lidar	2.18369	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075
1477010444339690	6.67084	-0.474507	-2.20731	0.94595	1.12026	radar	4.381	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769
1477010444389748	6.60384	-0.586804	-2.23313	1.02809	1.14507	lidar	0.342463	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769
1477010444444769	6.56459	-0.746775	-2.28369	1.23804	1.45322	radar	1.297	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498
1477010444499791	6.51887	-0.902837	-2.33258	1.33668	1.439	lidar	1.43391	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494
1477010444554767	6.40599	-0.977489	-2.24514	1.11438	0.763577	radar	8.17787	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898
1477010444609744	6.33653	-1.11757	-2.29495	1.15287	0.728331	lidar	1.30926	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896
1477010444664705	6.44321	-1.32718	-2.38763	1.61403	1.55212	radar	29.5354	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894
1477010444719667	6.43685	-1.49266	-2.44953	1.69367	1.52041	lidar	1.74993	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891
1477010444769692	6.36935	-1.58697	-2.31324	1.5595	1.11234	radar	11.6658	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985
1477010444819718	6.344	-1.74583	-2.38929	1.59364	1.06103	lidar	2.80482	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847
1477010444869719	6.39948	-1.90965	-2.51492	1.76536	1.26382	radar	7.34099	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994
1477010444919720	6.40743	-2.06861	-2.57701	1.80931	1.22667	lidar	1.77714	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994
1477010444974743	6.39197	-2.2097	-2.52531	1.78775	1.07654	radar	4.52085	6.32593	-2.40018	6.35	-2.4	0	-2.72613
1477010445029767	6.40366	-2.38346	-2.58778	1.8223	1.03794	lidar	1.73831	6.34927	-2.55175	6.35	-2.55	0	-2.72611
1477010445084742	6.45064	-2.54473	-2.65237	1.89513	1.06436	radar	1.35563	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851
1477010445139717	6.48048	-2.71409	-2.70104	1.9301	1.03299	lidar	1.06559	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851
1477010445189758	6.48907	-2.84453	-2.64807	1.92494	0.946951	radar	3.19301	6.46536	-3.00452	6.45	-3	0	-2.99754
1477010445239799	6.51027	-3.00636	-2.70062	1.94117	0.909546	lidar	1.45559	6.44119	-3.14955	6.45	-3.15	0	-2.99754
1477010445294720	6.56538	-3.16417	-2.74697	1.98927	0.9114	radar	0.822964	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312
1477010445349641	6.60481	-3.33551	-2.79057	2.01081	0.879346	lidar	1.07616	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312
1477010445404670	6.68677	-3.49429	-2.86844	2.07356	0.905817	radar	1.77477	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583
1477010445459700	6.7579	-3.6562	-2.90107	2.10922	0.889303	lidar	0.542498	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581
1477010445514767	6.82043	-3.79334	-2.85478	2.13452	0.855442	radar	1.47934	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396
1477010445569835	6.88964	-3.95511	-2.88722	2.15913	0.831241	lidar	0.675919	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393
1477010445624820	6.9518	-4.08582	-2.82876	2.17944	0.796828	radar	1.77988	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801
1477010445679806	7.01454	-4.24607	-2.85619	2.1926	0.765228	lidar	0.901642	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799
1477010445734748	7.05904	-4.35518	-2.69532	2.1965	0.708096	radar	9.23411	7.05156	-4.49706	7	-4.45	0.910054	-1.8201
1477010445789690	7.12122	-4.49642	-2.70651	2.21072	0.68337	lidar	0.564556	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201
1477010445844738	7.19001	-4.61297	-2.65443	2.23169	0.661396	radar	1.1552	7.10252	-4.67934	7.1	-4.7	0.908302	-2.72489
1477010445899786	7.24627	-4.7639	-2.67397	2.23228	0.625215	lidar	1.17294	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489
1477010445954759	7.35159	-4.90612	-2.77167	2.26794	0.633247	radar	2.60522	7.3138	-5.05204	7.25	-5	1.81907	-2.72861
1477010446009732	7.41336	-5.05914	-2.78722	2.26493	0.595072	lidar	1.27344	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861
1477010446064786	7.48758	-5.17724	-2.73991	2.27991	0.573939	radar	1.22715	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246
1477010446119841	7.54877	-5.33508	-2.75974	2.26977	0.531454	lidar	1.48623	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457
1477010446174794	7.63707	-5.45738	-2.74314	2.28798	0.518386	radar	0.525534	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974
1477010446229748	7.71202	-5.59734	-2.75296	2.28961	0.491111	lidar	0.588488	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972
1477010446284703	7.78846	-5.70842	-2.69926	2.30165	0.473312	radar	1.21826	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951
1477010446339659	7.84796	-5.85833	-2.70908	2.28631	0.431496	lidar	1.35894	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948
1477010446389694	7.96507	-5.9944	-2.87313	2.31331	0.445652	radar	8.21894	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979
1477010446439730	8.0323	-6.13838	-2.88799	2.30004	0.409437	lidar	1.02776	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787
1477010446494754	8.1257	-6.25792	-2.8438	2.31178	0.395659	radar	1.30868	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739
1477010446549779	8.21137	-6.39574	-2.8504	2.31094	0.372691	lidar	0.379413	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737
1477010446604767	8.29343	-6.50625	-2.79172	2.31865	0.357692	radar	1.33602	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787
1477010446659755	8.35876	-6.65819	-2.79856	2.29763	0.316625	lidar	1.19195	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787
1477010446714702	8.44836	-6.77453	-2.78468	2.3066	0.307853	radar	0.432852	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993
1477010446769649	8.52365	-6.9112	-2.78518	2.29709	0.281363	lidar	0.521709	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993
1477010446819646	8.59776	-7.01296	-2.74764	2.30102	0.270002	radar	0.761097	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018
1477010446869643	8.65106	-7.15419	-2.75415	2.27501	0.230437	lidar	1.15631	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018
1477010446919691	8.76285	-7.28529	-2.88122	2.29018	0.239646	radar	5.23384	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712
1477010446969739	8.82203	-7.4355	-2.89298	2.26261	0.199971	lidar	1.17791	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712
1477010447024687	8.88765	-7.54663	-2.76349	2.25376	0.173701	radar	6.12746	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199
1477010447079636	8.94722	-7.69485	-2.76475	2.22926	0.139682	lidar	0.870111	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988
1477010447129681	9.02784	-7.81166	-2.78027	2.23109	0.135365	radar	0.315461	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973
1477010447179726	9.072	-7.95855	-2.78539	2.19829	0.0959286	lidar	1.18097	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973
1477010447234713	9.11251	-8.06302	-2.63424	2.17801	0.0623739	radar	7.28582	8.8564	-8.01424	9	-8.15	0.909309	-1.8186
1477010447289701	9.16089	-8.20542	-2.63276	2.15199	0.0331719	lidar	0.719796	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859
1477010447339681	9.24013	-8.32824	-2.68004	2.15431	0.0365707	radar	0.792337	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119
1477010447389662	9.27151	-8.47509	-2.68657	2.11686	-0.00217515	lidar	1.19839	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117
1477010447444637	9.31344	-8.5924	-2.58172	2.09316	-0.0331914	radar	3.99513	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819
1477010447499613	9.34959	-8.73683	-2.58168	2.06244	-0.0615843	lidar	0.716609	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899
1477010447549622	9.49029	-8.89457	-2.88318	2.11278	0.0154459	radar	31.4748	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928
1477010447599631	9.52903	-9.05564	-2.90234	2.07712	-0.0201837	lidar	1.01601	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928
1477010447649652	9.56997	-9.17455	-2.81636	2.05475	-0.048528	radar	2.87825	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917
1477010447699673	9.61044	-9.31723	-2.82192	2.03056	-0.0698932	lidar	0.367935	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917
1477010447749669	9.64595	-9.43584	-2.75608	2.00848	-0.0939621	radar	1.76596	9.47534	-9.42627	9.55	-9.5	0	-3.00023
1477010447799666	9.66244	-9.59075	-2.76758	1.96763	-0.129378	lidar	1.02802	9.54779	-9.64959	9.55	-9.65	0	-3.0002
1477010447849716	9.72847	-9.73034	-2.81921	1.96959	-0.116108	radar	1.03921	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997
1477010447899766	9.74656	-9.88554	-2.83053	1.93291	-0.146236	lidar	0.769441	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997
1477010447954720	9.76252	-10.0179	-2.73406	1.89516	-0.186202	radar	3.80175	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969
1477010448009675	9.7943	-10.1611	-2.72807	1.87544	-0.195549	lidar	0.198283	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969
1477010448059664	9.83435	-10.2965	-2.72698	1.86235	-0.200138	radar	0.493172	9.92627	-10.4745	9.75	-10.3	0	-3.00065
1477010448109654	9.84223	-10.4448	-2.73684	1.82798	-0.223671	lidar	0.512439	9.75524	-10.4732	9.75	-10.45	0	-3.00063
